_id,id,air_quality_benfits_total_lbs,neighborhood
171,1252213752,0.683577706,Polish Hill
172,1298337980,1.927847862,Polish Hill
173,725579468,0.904079222,Polish Hill
174,2017738896,0.683577706,East Liberty
175,1190953032,0.758921666,East Liberty
176,1031054379,1.514707978,East Liberty
177,2066964242,2.728697849,East Liberty
178,1572186087,1.250949266,Lower Lawrenceville
179,878867569,1.584247605,Lower Lawrenceville
180,1738548384,1.359931919,East Liberty
181,1312619447,1.031785168,Central Northside
182,1790312351,0.029088039,East Liberty
183,882484119,0.168779216,East Liberty
184,1233039330,0.009731261,East Liberty
185,1476080639,0.168779216,East Liberty
186,4118583,0.076863476,East Liberty
187,1357603449,0.009731261,East Liberty
188,910535974,0.336071793,Central Lawrenceville
189,662284606,0.027523768,Shadyside
190,879164209,0.958863766,Central Lawrenceville
191,552793504,0.142261654,Central Lawrenceville
192,1576061261,1.037401476,Central Northside
193,1067240468,0.237422184,Central Lawrenceville
194,1896467548,0.329597314,Central Lawrenceville
195,11435034,0.080703455,Central Lawrenceville
196,755159700,1.318714254,Central Lawrenceville
197,394669753,0.207721333,Central Lawrenceville
198,2127774458,0.026281765,Central Lawrenceville
199,1238362233,0.271151708,Central Lawrenceville
200,733050740,0.123548697,Central Lawrenceville
201,1097477879,0.4360846,Central Lawrenceville
202,796014476,0.4360846,Central Lawrenceville
203,574923879,1.196503643,Central Northside
204,1691256820,0.219626795,Central Lawrenceville
205,847797405,1.220369772,Central Lawrenceville
206,1645849304,0.239166724,Central Lawrenceville
207,1875682246,0.709526071,Central Lawrenceville
208,1689909297,0.062539413,Central Lawrenceville
209,530417847,0.207721333,Central Lawrenceville
210,70249704,0.142261654,Central Lawrenceville
211,733007640,1.097871709,Central Lawrenceville
212,1466623658,3.238298781,Stanton Heights
213,362317011,0.123548697,Stanton Heights
214,1031328413,1.927847862,Central Northside
215,1948025498,1.608513886,Stanton Heights
216,206195522,1.687860796,Stanton Heights
217,367092785,4.196370128,Stanton Heights
218,109369411,1.540382546,Stanton Heights
219,1886288456,1.444099665,Stanton Heights
220,236429987,1.097871709,Stanton Heights
221,1742603927,0.207721333,Stanton Heights
222,2119275336,1.286733627,Stanton Heights
223,733988672,0.460405158,Stanton Heights
224,2065898079,1.961537302,Stanton Heights
225,754496510,0.644875387,South Side Flats
226,1091700090,4.901976383,Allegheny Center
227,1165237005,1.584247605,Morningside
228,1137564781,0.540687415,Morningside
229,493184553,0.19064686,Morningside
230,1812447346,0.160668943,Morningside
231,866441651,0.126259007,Morningside
232,763590410,0.896253822,Morningside
233,2136994059,0.444283439,Morningside
234,1661495494,1.794392733,Morningside
235,383892235,0.133666137,Morningside
236,316577998,2.728697849,Garfield
237,476339406,0.015575302,Central Northside
238,544455557,2.728697849,Garfield
239,1856303884,0.329597314,Garfield
240,1848234,0.329597314,Garfield
241,892612533,0.329597314,Garfield
242,103708186,0.021569598,Garfield
243,1622021249,0.196934741,Garfield
244,1547289598,0.196934741,Garfield
245,1321850368,0.211743625,Garfield
246,1806009074,0.133666137,Garfield
247,634815277,0.211743625,Garfield
248,2121692709,1.694659997,Allegheny Center
249,1957426347,0.4360846,Garfield
250,592128679,0.683577706,Garfield
251,1963447422,0.875097494,Garfield
252,537826374,0.238683532,Garfield
253,1724227959,0.503116025,Garfield
254,93260476,0.683577706,Garfield
255,896218767,0.238683532,Garfield
256,960638156,0.503116025,Garfield
257,1598714417,0.503116025,Garfield
258,154543298,0.238683532,Garfield
259,834782196,1.789915795,Central Northside
260,747429112,0.238683532,Garfield
261,1059154172,1.591693917,Garfield
262,1049986864,0.503116025,Bloomfield
263,231967898,0.503116025,Bloomfield
264,1282044029,2.138232745,Morningside
265,1236641185,2.370444044,Morningside
266,1232465945,0.336071793,Morningside
267,213516558,1.220369772,Morningside
268,1972466884,0.296344988,Morningside
269,1294391337,0.119707398,Morningside
270,47098642,1.644545978,Central Northside
271,1612738334,0.009577857,Morningside
272,1402749233,0.875097494,East Liberty
273,162594453,2.981213649,Garfield
274,1505091773,0.279505663,Garfield
275,44068789,0.102443706,East Liberty
276,1189260074,4.376415483,East Liberty
277,2042744339,3.010441739,East Liberty
278,127105675,1.143443933,East Liberty
279,34836528,1.181579324,Morningside
280,311777126,0.006555426,East Liberty
281,2085852786,1.744564559,Central Northside
282,372688240,0.038894752,East Liberty
283,4149148,1.706543698,East Liberty
284,2134951186,3.209856708,Highland Park
285,1929208799,0.403001978,Highland Park
286,1828922263,0.317639436,Highland Park
287,880301979,0.875097494,East Liberty
288,1024848805,5.826661144,East Liberty
289,1577688215,4.127764682,East Liberty
290,447992269,2.606966161,Highland Park
291,1152155391,2.022127095,East Liberty
292,777520715,1.077675387,Central Northside
293,1088218325,1.225618399,East Liberty
294,1979228223,4.901976383,East Liberty
295,438827553,0.207224798,East Liberty
296,1462421183,0.309449149,East Liberty
297,1563111976,0.875097494,East Liberty
298,182762768,0.239166724,East Liberty
299,1171987503,0.239166724,East Liberty
300,1749753855,3.238298781,East Liberty
301,1039615570,0.550785825,East Liberty
302,826105000,0.403001978,Highland Park
303,865821033,0.875097494,Central Northside
304,1970895808,0.674911742,East Liberty
305,1798067074,0.100755835,East Liberty
306,898497426,0.487952619,East Liberty
307,1267346627,0.758921666,Highland Park
308,1694267978,1.873151122,East Liberty
309,1681033335,0.794526818,East Liberty
310,301528514,0.785552536,East Liberty
311,464804582,1.514707978,Highland Park
312,871478733,0.934352495,East Liberty
313,1467828325,0.636752577,East Liberty
314,1630243576,1.518435582,Allegheny Center
315,2139238020,1.462670947,East Liberty
316,2094544970,5.985645503,East Liberty
317,921411755,3.376422104,Garfield
318,1732847346,0.196934741,East Liberty
319,1538739548,0.196934741,East Liberty
320,1139939140,0.171031399,East Liberty
321,1763535359,0.264066972,East Liberty
322,903704960,2.610242973,Garfield
323,1057735323,1.463145547,East Liberty
324,706828001,2.470142365,East Liberty
325,546832995,0.880961104,Central Northside
326,1967891180,0.4360846,East Liberty
327,1689743328,2.138232745,East Liberty
328,309891592,2.254338394,East Liberty
329,1686662565,0.444283439,East Liberty
330,1742394492,0.171031399,East Liberty
331,1975530838,0.264066972,East Liberty
332,1083077544,0.592663537,Homewood South
333,59161844,1.372968834,Homewood South
334,734317814,0.40038428,East Liberty
335,1311157443,0.636752577,East Liberty
336,478027989,1.069905086,South Side Flats
337,223833380,0.027117716,Central Northside
338,1700029438,0.487952619,East Liberty
339,1742323665,0.2874323,East Liberty
340,1010309972,2.860637683,Homewood South
341,253568702,0.487952619,East Liberty
342,889349806,0.487952619,East Liberty
343,385578722,4.127764682,Homewood South
344,1970281405,0.131584806,Homewood North
345,1021047106,0.034977521,Homewood North
346,1050134923,0.131584806,Homewood North
347,769808980,0.131584806,Homewood North
348,1537648114,1.28025328,Central Northside
349,1500415629,0.207721333,Homewood South
350,1370222533,0.239166724,East Liberty
351,1050115100,2.022127095,East Liberty
352,1108976150,4.175564329,Garfield
353,1042077330,1.342384548,Garfield
354,1820005021,1.269000908,Garfield
355,582985229,1.07081551,Garfield
356,1748372272,1.24509304,Garfield
357,734001599,,Point Breeze North
358,550036539,4.577266638,Garfield
359,1081336124,0.4360846,Allegheny Center
360,59573652,1.086478263,Point Breeze North
361,637066578,1.317777209,Garfield
362,2068344735,2.259954679,Garfield
363,687192053,2.259954679,Garfield
364,1111086902,4.778117792,Garfield
365,328366281,4.978968946,Garfield
366,2096041169,0.18844732,Point Breeze North
367,505970897,2.189941147,Garfield
368,1079474363,6.786284284,Garfield
369,1913474234,2.049840538,Garfield
370,1487463694,0.219079917,Central Northside
371,527487138,3.011419931,Garfield
372,305695657,5.985645503,Garfield
373,385444020,1.346069018,Garfield
374,541834479,1.710048226,Garfield
375,566021637,2.503416965,Garfield
376,1076394804,2.649307944,Garfield
377,2131645567,3.520681521,Garfield
378,548695749,0.08229486,Garfield
379,1716848031,0.207224798,Garfield
380,1311438650,2.649307944,Garfield
381,581844381,1.686256744,Central Northside
382,2090240923,2.630417706,Garfield
383,667798096,3.974713175,Garfield
